Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
0,False,3,1,10,221,3.00072
0,False,3,2,10,223,3.01102
0,False,3,3,20,238,3.00556
0,False,3,4,100,240,3.01607
0,False,3,5,140,350,3.00734
0,False,3,6,230,639,3.00624
0,False,3,7,230,681,3.01537
0,False,3,8,230,738,3.01642
0,False,3,9,230,691,3.01917
0,False,3,10,230,751,3.01941
0,False,3,11,230,731,3.02512
0,False,3,12,230,739,3.02161
0,False,3,13,230,748,3.02618
0,False,3,14,230,809,3.0239
0,False,3,15,230,804,3.02479
0,False,3,16,230,842,3.03061
0,False,3,17,230,820,3.03062
0,False,3,18,230,884,3.03021
0,False,3,19,230,875,3.03467
0,False,3,20,230,960,3.03677
0,False,3,21,230,966,3.04306
0,False,3,22,230,1029,3.05192
0,False,3,23,230,1013,3.04721
0,False,3,24,230,1189,3.0494
0,False,3,25,230,1179,3.056
0,False,3,26,230,1423,3.05723
0,False,3,27,230,1556,3.07446
0,False,3,28,230,2129,3.09153
0,False,3,29,230,2646,3.1187
0,False,3,30,230,0,3.15164
1,False,3,1,10,138,3.01099
1,False,3,2,20,140,3.0018
1,False,3,3,20,133,3.0026
1,False,3,4,20,147,3.00236
1,False,3,5,20,141,3.01183
1,False,3,6,20,152,3.0223
1,False,3,7,20,146,3.01567
1,False,3,8,20,142,3.02133
1,False,3,9,20,148,3.02401
1,False,3,10,20,155,3.0139
1,False,3,11,20,150,3.01858
1,False,3,12,20,149,3.00275
1,False,3,13,20,158,3.02188
1,False,3,14,30,153,3.01657
1,False,3,15,-50,160,3.01976
1,False,3,16,40,173,3.00273
1,False,3,17,40,165,3.00914
1,False,3,18,10,168,3.00596
1,False,3,19,10,178,3.00565
1,False,3,20,10,174,3.00609
1,False,3,21,10,183,3.01095
1,False,3,22,10,176,3.01154
1,False,3,23,10,174,3.00652
1,False,3,24,10,176,3.01453
1,False,3,25,10,171,3.00195
1,False,3,26,10,174,3.00364
1,False,3,27,10,178,3.0096
1,False,3,28,10,184,3.00747
1,False,3,29,10,181,3.00917
1,False,3,30,10,183,3.02215
1,False,3,31,10,180,3.01135
1,False,3,32,10,192,3.0083
1,False,3,33,10,188,3.00278
1,False,3,34,10,189,3.01404
1,False,3,35,10,195,3.00791
1,False,3,36,10,190,3.00947
1,False,3,37,-70,206,3.01894
1,False,3,38,20,206,3.00699
1,False,3,39,20,207,3.00728
1,False,3,40,20,202,3.02007
1,False,3,41,20,205,3.01651
1,False,3,42,20,198,3.02287
1,False,3,43,20,205,3.00735
1,False,3,44,20,210,3.01055
1,False,3,45,20,209,3.02464
1,False,3,46,20,203,3.00533
1,False,3,47,20,204,3.01623
1,False,3,48,20,196,3.00548
1,False,3,49,20,193,3.01379
1,False,3,50,20,206,3.01935
