Endgame,White,Parameter,Move,Evaluation_Function,Nodes_Number,Time
0,True,1,1,0,53,1.01088
0,True,1,2,-90,61,1.02104
0,True,1,3,-90,54,1.00466
0,True,1,4,-90,54,1.02492
0,True,1,5,-90,42,1.00938
0,True,1,6,-80,40,1.04037
0,True,1,7,-80,57,1.01501
0,False,2,1,-90,113,2.00156
0,False,2,2,-90,106,2.01164
0,False,2,3,-90,122,2.01896
0,False,2,4,-90,108,2.00269
0,False,2,5,-90,100,2.02646
0,False,2,6,-80,105,2.00309
0,False,2,7,-80,127,2.00293
0,True,2,1,0,115,2.00911
0,True,2,2,0,116,2.01809
0,True,2,3,0,110,2.02993
0,True,2,4,10,107,2.00369
0,True,2,5,60,113,2.00856
0,True,2,6,140,143,2.00567
0,True,2,7,230,147,2.0073
0,False,1,1,0,60,1.02677
0,False,1,2,0,55,1.02183
0,False,1,3,0,59,1.03965
0,False,1,4,10,54,1.01894
0,False,1,5,60,69,1.00154
0,False,1,6,140,80,1.0031
1,True,1,1,10,42,1.0007
1,True,1,2,10,41,1.00853
1,True,1,3,10,35,1.00909
1,True,1,4,10,40,1.02902
1,True,1,5,-20,38,1.03569
1,True,1,6,-20,57,1.01918
1,True,1,7,-20,45,1.00918
1,True,1,8,-30,45,1.0092
1,True,1,9,-30,49,1.00531
1,True,1,10,-30,44,1.02346
1,False,2,1,10,77,2.03233
1,False,2,2,10,69,2.01449
1,False,2,3,10,71,2.00404
1,False,2,4,-20,84,2.0253
1,False,2,5,-20,81,2.01937
1,False,2,6,-20,91,2.00514
1,False,2,7,-30,97,2.01761
1,False,2,8,-30,110,2.02763
1,False,2,9,-30,99,2.0101
1,False,2,10,-110,86,2.01245
1,True,2,1,10,77,2.00618
1,True,2,2,10,72,2.01198
1,True,2,3,10,65,2.0106
1,True,2,4,20,80,2.01524
1,True,2,5,-60,69,2.01846
1,True,2,6,-70,80,2.00992
1,True,2,7,-70,89,2.0123
1,True,2,8,-70,92,2.0176
1,True,2,9,-70,83,2.01779
1,True,2,10,-70,62,2.00499
1,True,2,11,-70,79,2.02413
1,True,2,12,-70,78,2.01336
1,True,2,13,-70,76,2.02669
1,True,2,14,-70,85,2.02403
1,True,2,15,-70,71,2.01094
1,True,2,16,-70,83,2.02406
1,True,2,17,-70,77,2.03884
1,True,2,18,-70,92,2.02847
1,True,2,19,20,90,2.00604
1,True,2,20,20,81,2.03049
1,True,2,21,20,83,2.02088
1,True,2,22,20,89,2.00456
1,True,2,23,20,81,2.01648
1,True,2,24,20,83,2.01723
1,True,2,25,20,98,2.00934
1,True,2,26,20,90,2.03038
1,True,2,27,10,105,2.02059
1,True,2,28,10,96,2.00524
1,True,2,29,10,87,2.00752
1,True,2,30,10,103,2.00686
1,True,2,31,10,102,2.00656
1,True,2,32,10,108,2.02055
1,True,2,33,-20,125,2.01988
1,True,2,34,-20,125,2.01678
1,True,2,35,-20,135,2.02638
1,True,2,36,-20,124,2.01223
1,True,2,37,-20,127,2.03001
1,True,2,38,-20,142,2.0135
1,True,2,39,-20,136,2.03205
1,True,2,40,-20,115,2.01602
1,True,2,41,-20,118,2.01241
1,True,2,42,-20,130,2.02407
1,True,2,43,-20,135,2.03439
1,True,2,44,-20,127,2.02575
1,True,2,45,-20,120,2.03343
1,True,2,46,-100,139,2.02579
